season,round,circuit_id,country,lat,long,date,url
2019,10,silverstone,UK,52.0786,-1.01694,2019-07-14,http://en.wikipedia.org/wiki/2019_British_Grand_Prix
2019,11,hockenheimring,Germany,49.3278,8.56583,2019-07-28,http://en.wikipedia.org/wiki/2019_German_Grand_Prix
2019,12,hungaroring,Hungary,47.5789,19.2486,2019-08-04,http://en.wikipedia.org/wiki/2019_Hungarian_Grand_Prix
2019,13,spa,Belgium,50.4372,5.97139,2019-09-01,http://en.wikipedia.org/wiki/2019_Belgian_Grand_Prix
2019,14,monza,Italy,45.6156,9.28111,2019-09-08,http://en.wikipedia.org/wiki/2019_Italian_Grand_Prix
2019,15,marina_bay,Singapore,1.2914,103.864,2019-09-22,http://en.wikipedia.org/wiki/2019_Singapore_Grand_Prix
2019,16,sochi,Russia,43.4057,39.9578,2019-09-29,http://en.wikipedia.org/wiki/2019_Russian_Grand_Prix
2019,17,suzuka,Japan,34.8431,136.541,2019-10-13,http://en.wikipedia.org/wiki/2019_Japanese_Grand_Prix
2019,18,rodriguez,Mexico,19.4042,-99.0907,2019-10-27,http://en.wikipedia.org/wiki/2019_Mexican_Grand_Prix
2019,19,americas,USA,30.1328,-97.6411,2019-11-03,http://en.wikipedia.org/wiki/2019_United_States_Grand_Prix
2019,20,interlagos,Brazil,-23.7036,-46.6997,2019-11-17,http://en.wikipedia.org/wiki/2019_Brazilian_Grand_Prix
2019,21,yas_marina,UAE,24.4672,54.6031,2019-12-01,http://en.wikipedia.org/wiki/2019_Abu_Dhabi_Grand_Prix
2020,1,red_bull_ring,Austria,47.2197,14.7647,2020-07-05,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix
2020,2,red_bull_ring,Austria,47.2197,14.7647,2020-07-12,http://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix
2020,3,hungaroring,Hungary,47.5789,19.2486,2020-07-19,http://en.wikipedia.org/wiki/2020_Hungarian_Grand_Prix
2020,4,silverstone,UK,52.0786,-1.01694,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix
2020,5,silverstone,UK,52.0786,-1.01694,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix
2020,6,catalunya,Spain,41.57,2.26111,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix
2020,7,spa,Belgium,50.4372,5.97139,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix
2020,8,monza,Italy,45.6156,9.28111,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix
2020,9,mugello,Italy,43.9975,11.3719,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix
2020,10,sochi,Russia,43.4057,39.9578,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix
2020,11,nurburgring,Germany,50.3356,6.9475,2020-10-11,http://en.wikipedia.org/wiki/2020_Eifel_Grand_Prix
2020,12,portimao,Portugal,37.227,-8.6267,2020-10-25,http://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix
2020,13,imola,Italy,44.3439,11.7167,2020-11-01,http://en.wikipedia.org/wiki/2020_Emilia_Romagna_Grand_Prix
2020,14,istanbul,Turkey,40.9517,29.405,2020-11-15,http://en.wikipedia.org/wiki/2020_Turkish_Grand_Prix
2020,15,bahrain,Bahrain,26.0325,50.5106,2020-11-29,http://en.wikipedia.org/wiki/2020_Bahrain_Grand_Prix
2020,16,bahrain,Bahrain,26.0325,50.5106,2020-12-06,http://en.wikipedia.org/wiki/2020_Sakhir_Grand_Prix
2020,17,yas_marina,UAE,24.4672,54.6031,2020-12-13,http://en.wikipedia.org/wiki/2020_Abu_Dhabi_Grand_Prix
2021,1,bahrain,Bahrain,26.0325,50.5106,2021-03-28,http://en.wikipedia.org/wiki/2021_Bahrain_Grand_Prix
2021,2,imola,Italy,44.3439,11.7167,2021-04-18,http://en.wikipedia.org/wiki/2021_Emilia_Romagna_Grand_Prix
2021,3,portimao,Portugal,37.227,-8.6267,2021-05-02,http://en.wikipedia.org/wiki/2021_Portuguese_Grand_Prix
2021,4,catalunya,Spain,41.57,2.26111,2021-05-09,http://en.wikipedia.org/wiki/2021_Spanish_Grand_Prix
2021,5,monaco,Monaco,43.7347,7.42056,2021-05-23,http://en.wikipedia.org/wiki/2021_Monaco_Grand_Prix
2021,6,baku,Azerbaijan,40.3725,49.8533,2021-06-06,http://en.wikipedia.org/wiki/2021_Azerbaijan_Grand_Prix
2021,7,ricard,France,43.2506,5.79167,2021-06-20,http://en.wikipedia.org/wiki/2021_French_Grand_Prix
2021,8,red_bull_ring,Austria,47.2197,14.7647,2021-06-27,http://en.wikipedia.org/wiki/2021_Styrian_Grand_Prix
2021,9,red_bull_ring,Austria,47.2197,14.7647,2021-07-04,http://en.wikipedia.org/wiki/2021_Austrian_Grand_Prix
2021,10,silverstone,UK,52.0786,-1.01694,2021-07-18,http://en.wikipedia.org/wiki/2021_British_Grand_Prix
2021,11,hungaroring,Hungary,47.5789,19.2486,2021-08-01,http://en.wikipedia.org/wiki/2021_Hungarian_Grand_Prix
