season,round,lap,driver,position,time
2014,1,38,bottas,8,1:33.779
2014,1,38,raikkonen,9,1:33.896
2014,1,38,kvyat,10,1:32.634
2014,1,38,perez,11,1:33.954
2014,1,38,grosjean,12,1:36.432
2014,1,38,sutil,13,1:35.276
2014,1,38,gutierrez,14,1:35.131
2014,1,38,chilton,15,1:37.967
2014,1,38,jules_bianchi,16,1:36.263
2014,1,39,rosberg,1,1:41.375
2014,1,39,ricciardo,2,1:34.044
2014,1,39,kevin_magnussen,3,1:32.917
2014,1,39,button,4,1:33.965
2014,1,39,alonso,5,1:33.994
2014,1,39,hulkenberg,6,1:34.929
2014,1,39,vergne,7,1:34.957
2014,1,39,bottas,8,1:34.251
2014,1,39,raikkonen,9,1:34.046
2014,1,39,kvyat,10,1:33.689
2014,1,39,perez,11,1:33.856
2014,1,39,grosjean,12,1:35.520
2014,1,39,sutil,13,1:35.037
2014,1,39,gutierrez,14,1:34.508
2014,1,39,chilton,15,1:39.754
2014,1,39,jules_bianchi,16,1:38.308
2014,1,40,rosberg,1,1:33.394
2014,1,40,ricciardo,2,1:33.754
2014,1,40,kevin_magnussen,3,1:33.898
2014,1,40,button,4,1:34.082
2014,1,40,alonso,5,1:33.951
2014,1,40,hulkenberg,6,1:34.661
2014,1,40,vergne,7,1:35.015
2014,1,40,bottas,8,1:33.819
