season,round,grid,circuit_id,driver,fastest_time,stage,q_delta
2014,9,3,silverstone,button,98.2,q3,2.4339999999999975
2014,9,4,silverstone,hulkenberg,98.329,q3,2.562999999999988
2014,9,5,silverstone,kevin_magnussen,98.417,q3,2.6509999999999962
2014,9,6,silverstone,hamilton,99.232,q3,3.465999999999994
2014,9,7,silverstone,perez,100.457,q3,4.690999999999988
2014,9,8,silverstone,ricciardo,100.606,q3,4.839999999999989
2014,9,9,silverstone,kvyat,100.707,q3,4.940999999999988
2014,10,1,hockenheimring,rosberg,76.54,q3,0.0
2014,10,10,hockenheimring,perez,78.035,q3,1.4949999999999903
2014,10,11,hockenheimring,button,78.193,q2,1.6529999999999916
2014,10,12,hockenheimring,raikkonen,78.273,q2,1.7329999999999899
2014,10,13,hockenheimring,vergne,78.285,q2,1.7449999999999903
2014,10,14,hockenheimring,gutierrez,78.787,q2,2.247
2014,10,15,hockenheimring,grosjean,78.983,q2,2.442999999999998
2014,10,16,hockenheimring,hamilton,78.683,q1,2.1430000000000007
2014,10,17,hockenheimring,sutil,79.142,q1,2.6019999999999897
2014,10,18,hockenheimring,jules_bianchi,79.676,q1,3.1359999999999957
2014,10,19,hockenheimring,maldonado,80.195,q1,3.654999999999987
2014,10,2,hockenheimring,bottas,76.759,q3,0.2189999999999941
2014,10,20,hockenheimring,kobayashi,80.408,q1,3.867999999999995
2014,10,21,hockenheimring,chilton,80.489,q1,3.948999999999998
2014,10,22,hockenheimring,ericsson,,,0.0
2014,10,3,hockenheimring,massa,77.078,q3,0.0
2014,10,4,hockenheimring,kevin_magnussen,77.214,q3,4.084999999999994
2014,10,5,hockenheimring,ricciardo,77.273,q3,4.143999999999991
2014,10,6,hockenheimring,vettel,77.577,q3,4.447999999999993
2014,10,7,hockenheimring,alonso,77.649,q3,4.519999999999996
2014,10,8,hockenheimring,kvyat,77.965,q3,4.8359999999999985
2014,10,9,hockenheimring,hulkenberg,78.014,q3,4.884999999999991
2014,11,1,hungaroring,rosberg,82.715,q3,0.0
2014,11,10,hungaroring,kevin_magnussen,84.585,q2,1.8699999999999903
2014,11,11,hungaroring,kvyat,84.706,q2,1.9909999999999997
2014,11,12,hungaroring,sutil,85.136,q2,2.4209999999999923
2014,11,13,hungaroring,perez,85.211,q2,2.495999999999995
2014,11,14,hungaroring,gutierrez,85.26,q2,2.5450000000000017
2014,11,15,hungaroring,grosjean,85.337,q2,2.622
2014,11,16,hungaroring,jules_bianchi,87.419,q2,4.7039999999999935
2014,11,17,hungaroring,raikkonen,86.792,q1,4.076999999999998
2014,11,18,hungaroring,kobayashi,87.139,q1,4.423999999999992
2014,11,19,hungaroring,chilton,87.819,q1,5.103999999999999
2014,11,2,hungaroring,vettel,83.201,q3,0.48599999999999
2014,11,20,hungaroring,ericsson,88.643,q1,5.927999999999997
2014,11,21,hungaroring,hamilton,,,0.0
2014,11,22,hungaroring,maldonado,,,0.0
2014,11,3,hungaroring,bottas,83.354,q3,0.0
2014,11,4,hungaroring,ricciardo,83.391,q3,5.965000000000003
2014,11,5,hungaroring,alonso,83.909,q3,6.483000000000004
2014,11,6,hungaroring,massa,84.223,q3,6.796999999999997
2014,11,7,hungaroring,button,84.294,q3,6.867999999999995
2014,11,8,hungaroring,vergne,84.72,q3,7.293999999999997
2014,11,9,hungaroring,hulkenberg,84.775,q3,7.349000000000004
2014,12,1,spa,rosberg,125.591,q3,0.0
2014,12,10,spa,button,129.776,q3,4.1850000000000165
2014,12,11,spa,kvyat,129.377,q2,3.7860000000000156
2014,12,12,spa,vergne,129.805,q2,4.214000000000013
2014,12,13,spa,perez,130.084,q2,4.493000000000009
2014,12,14,spa,sutil,130.238,q2,4.647000000000006
2014,12,15,spa,grosjean,131.087,q2,5.495999999999995
2014,12,16,spa,jules_bianchi,132.47,q2,6.879000000000005
2014,12,17,spa,maldonado,131.261,q1,5.670000000000002
2014,12,18,spa,hulkenberg,131.267,q1,5.676000000000002
2014,12,19,spa,chilton,132.566,q1,6.9750000000000085
2014,12,2,spa,hamilton,125.819,q3,0.22800000000000864
2014,12,20,spa,gutierrez,133.414,q1,7.822999999999993
2014,12,21,spa,lotterer,133.469,q1,7.878
2014,12,22,spa,ericsson,134.438,q1,8.846999999999994
2014,12,3,spa,vettel,127.717,q3,2.1260000000000048
2014,12,4,spa,alonso,127.786,q3,2.1950000000000074
2014,12,5,spa,ricciardo,127.911,q3,2.3200000000000074
2014,12,6,spa,bottas,128.049,q3,2.4580000000000126
2014,12,7,spa,kevin_magnussen,128.679,q3,3.088000000000008
2014,12,8,spa,raikkonen,128.78,q3,3.189000000000007
2014,12,9,spa,massa,129.178,q3,3.5870000000000033
2014,13,1,monza,hamilton,84.109,q3,0.0
2014,13,10,monza,perez,85.944,q3,1.835000000000008
2014,13,11,monza,kvyat,86.07,q2,1.9609999999999985
2014,13,12,monza,raikkonen,86.11,q2,2.0010000000000048
2014,13,13,monza,vergne,86.157,q2,2.048000000000002
2014,13,14,monza,hulkenberg,86.279,q2,2.1700000000000017
2014,13,15,monza,sutil,86.588,q2,2.478999999999999
2014,13,16,monza,gutierrez,86.692,q2,2.5829999999999984
2014,13,17,monza,maldonado,87.52,q1,3.4110000000000014
2014,13,18,monza,grosjean,87.632,q1,3.5230000000000103
2014,13,19,monza,kobayashi,87.671,q1,3.562000000000012
2014,13,2,monza,rosberg,84.383,q3,0.2740000000000009
2014,13,20,monza,jules_bianchi,87.738,q1,3.629000000000005
2014,13,21,monza,chilton,88.247,q1,4.138000000000005
2014,13,22,monza,ericsson,88.562,q1,4.453000000000003
2014,13,3,monza,bottas,84.697,q3,0.5880000000000081
2014,13,4,monza,massa,84.865,q3,0.7560000000000002
2014,13,5,monza,kevin_magnussen,85.314,q3,1.2049999999999983
2014,13,6,monza,button,85.379,q3,1.2700000000000102
2014,13,7,monza,alonso,85.43,q3,1.3210000000000122
2014,13,8,monza,vettel,85.436,q3,1.3270000000000124
2014,13,9,monza,ricciardo,85.709,q3,1.6000000000000085
2014,14,1,marina_bay,hamilton,105.681,q3,0.0
2014,14,10,marina_bay,kvyat,107.362,q3,1.6809999999999974
2014,14,11,marina_bay,button,106.943,q2,1.2620000000000005
2014,14,12,marina_bay,vergne,106.989,q2,1.308000000000007
2014,14,13,marina_bay,hulkenberg,107.308,q2,1.6270000000000095
2014,14,14,marina_bay,gutierrez,107.333,q2,1.652000000000001
2014,14,15,marina_bay,perez,107.575,q2,1.8940000000000055
2014,14,16,marina_bay,grosjean,107.812,q2,2.1310000000000002
2014,14,17,marina_bay,sutil,108.324,q1,2.6430000000000007
2014,14,18,marina_bay,maldonado,109.063,q1,3.382000000000005
2014,14,19,marina_bay,jules_bianchi,109.44,q1,3.7590000000000003
2014,14,2,marina_bay,rosberg,105.688,q3,0.007000000000005002
2014,14,20,marina_bay,kobayashi,110.405,q1,4.724000000000004
2014,14,21,marina_bay,chilton,110.473,q1,4.792000000000002
2014,14,22,marina_bay,ericsson,112.287,q1,6.606000000000009
2014,14,3,marina_bay,ricciardo,105.854,q3,0.17300000000000182
2014,14,4,marina_bay,vettel,105.902,q3,0.22100000000000364
2014,14,5,marina_bay,alonso,105.907,q3,0.2259999999999991
2014,14,6,marina_bay,massa,106.0,q3,0.3190000000000026
2014,14,7,marina_bay,raikkonen,106.17,q3,0.4890000000000043
2014,14,8,marina_bay,bottas,106.187,q3,0.5060000000000002
2014,14,9,marina_bay,kevin_magnussen,106.25,q3,0.5690000000000026
2014,15,1,suzuka,rosberg,92.506,q3,0.0
2014,15,10,suzuka,raikkonen,94.548,q3,2.0420000000000016
2014,15,11,suzuka,vergne,94.984,q2,2.4779999999999944
2014,15,12,suzuka,perez,95.089,q2,2.5829999999999984
2014,15,13,suzuka,kvyat,95.092,q2,2.5859999999999985
2014,15,14,suzuka,hulkenberg,95.099,q2,2.5930000000000035
2014,15,15,suzuka,sutil,95.364,q2,2.858000000000004
2014,15,16,suzuka,gutierrez,95.681,q2,3.174999999999997
2014,15,17,suzuka,maldonado,95.917,q1,3.4110000000000014
2014,15,18,suzuka,grosjean,95.984,q1,3.4779999999999944
2014,15,19,suzuka,ericsson,96.813,q1,4.307000000000002
2014,15,2,suzuka,hamilton,92.703,q3,0.19700000000000273
2014,15,20,suzuka,jules_bianchi,96.943,q1,4.436999999999998
2014,15,21,suzuka,kobayashi,97.015,q1,4.509
2014,15,22,suzuka,chilton,97.481,q1,4.974999999999994
2014,15,3,suzuka,bottas,93.128,q3,0.6219999999999999
2014,15,4,suzuka,massa,93.527,q3,1.0210000000000008
2014,15,5,suzuka,alonso,93.74,q3,1.2339999999999947
2014,15,6,suzuka,ricciardo,94.075,q3,1.5690000000000026
2014,15,7,suzuka,kevin_magnussen,94.242,q3,1.7360000000000042
2014,15,8,suzuka,button,94.317,q3,1.8109999999999928
2014,15,9,suzuka,vettel,94.432,q3,1.926000000000002
2014,16,1,sochi,hamilton,98.513,q3,0.0
2014,16,10,sochi,vergne,100.02,q3,1.5069999999999908
2014,16,11,sochi,vettel,100.052,q2,1.5390000000000015
2014,16,12,sochi,hulkenberg,100.058,q2,1.5450000000000017
2014,16,13,sochi,perez,100.163,q2,1.6499999999999915
2014,16,14,sochi,gutierrez,100.536,q2,2.022999999999996
2014,16,15,sochi,sutil,100.984,q2,2.4709999999999894
2014,16,16,sochi,grosjean,101.397,q2,2.8840000000000003
2014,16,17,sochi,ericsson,102.648,q1,4.134999999999991
2014,16,18,sochi,massa,103.064,q1,4.550999999999988
2014,16,19,sochi,kobayashi,103.166,q1,4.652999999999992
2014,16,2,sochi,rosberg,98.713,q3,0.19999999999998863
2014,16,20,sochi,maldonado,103.205,q1,4.691999999999993
2014,16,21,sochi,chilton,103.649,q1,5.135999999999996
2014,16,3,sochi,bottas,98.92,q3,0.4069999999999965
2014,16,4,sochi,button,99.121,q3,0.6079999999999899
2014,16,5,sochi,kvyat,99.277,q3,0.7639999999999958
2014,16,6,sochi,kevin_magnussen,99.629,q3,1.1159999999999997
2014,16,7,sochi,ricciardo,99.635,q3,1.1219999999999999
2014,16,8,sochi,alonso,99.709,q3,1.195999999999998
2014,16,9,sochi,raikkonen,99.771,q3,1.2579999999999956
2014,17,1,americas,rosberg,96.067,q3,0.0
2014,17,10,americas,sutil,98.81,q3,2.743000000000009
2014,17,11,americas,maldonado,98.467,q2,2.4000000000000057
2014,17,12,americas,perez,98.554,q2,2.487000000000009
2014,17,13,americas,hulkenberg,98.598,q2,2.531000000000006
2014,17,14,americas,kvyat,98.699,q2,2.632000000000005
2014,17,15,americas,vergne,99.25,q1,3.183000000000007
2014,17,16,americas,gutierrez,99.555,q1,3.4880000000000138
2014,17,17,americas,vettel,99.621,q1,3.554000000000002
2014,17,18,americas,grosjean,99.679,q1,3.612000000000009
2014,17,2,americas,hamilton,96.443,q3,0.3760000000000048
2014,17,3,americas,bottas,96.906,q3,0.8390000000000128
2014,17,4,americas,massa,97.205,q3,1.1380000000000052
2014,17,5,americas,ricciardo,97.244,q3,1.1770000000000067
2014,17,6,americas,alonso,97.61,q3,1.5430000000000064
2014,17,7,americas,button,97.655,q3,1.588000000000008
2014,17,8,americas,kevin_magnussen,97.706,q3,1.63900000000001
2014,17,9,americas,raikkonen,97.804,q3,1.737000000000009
2014,18,1,interlagos,rosberg,70.023,q3,0.0
2014,18,10,interlagos,raikkonen,71.099,q3,1.0760000000000076
2014,18,11,interlagos,gutierrez,71.591,q2,1.5679999999999978
2014,18,12,interlagos,hulkenberg,71.976,q2,1.953000000000003
2014,18,13,interlagos,sutil,72.099,q2,2.0760000000000076
2014,18,14,interlagos,kvyat,71.423,q1,1.4000000000000057
2014,18,15,interlagos,grosjean,72.037,q1,2.01400000000001
2014,18,16,interlagos,vergne,72.04,q1,2.01700000000001
2014,18,17,interlagos,perez,72.076,q1,2.0529999999999973
2014,18,18,interlagos,maldonado,72.233,q1,2.210000000000008
2014,18,2,interlagos,hamilton,70.056,q3,0.03300000000000125
2014,18,3,interlagos,massa,70.247,q3,0.22400000000000375
2014,18,4,interlagos,bottas,70.305,q3,0.2820000000000107
2014,18,5,interlagos,button,70.93,q3,0.9070000000000107
2014,18,6,interlagos,vettel,70.938,q3,0.9150000000000063
2014,18,7,interlagos,kevin_magnussen,70.969,q3,0.945999999999998
2014,18,8,interlagos,alonso,70.977,q3,0.9540000000000077
2014,18,9,interlagos,ricciardo,71.075,q3,1.0520000000000067
2014,19,1,yas_marina,rosberg,100.48,q3,0.0
2014,19,10,yas_marina,vergne,102.207,q2,1.7269999999999897
2014,19,11,yas_marina,perez,102.239,q2,1.7590000000000003
2014,19,12,yas_marina,hulkenberg,102.384,q2,1.9039999999999964
2014,19,13,yas_marina,sutil,103.074,q2,2.593999999999994
2014,19,14,yas_marina,grosjean,102.768,q1,2.2879999999999967
2014,19,15,yas_marina,gutierrez,102.819,q1,2.3389999999999986
2014,19,16,yas_marina,maldonado,102.86,q1,2.3799999999999955
2014,19,17,yas_marina,kobayashi,104.54,q1,4.060000000000002
2014,19,18,yas_marina,stevens,105.095,q1,4.614999999999995
2014,19,2,yas_marina,hamilton,100.866,q3,0.3859999999999957
2014,19,3,yas_marina,bottas,101.025,q3,0.5450000000000017
