season,round,lap,driver,position,time
2017,6,20,hamilton,10,1:17.151
2017,6,20,vandoorne,11,1:17.477
2017,6,20,massa,12,1:18.240
2017,6,20,ocon,13,1:18.396
2017,6,20,jolyon_palmer,14,1:17.903
2017,6,20,stroll,15,1:18.098
2017,6,20,perez,16,1:17.994
2017,6,20,ericsson,17,1:18.850
2017,6,20,wehrlein,18,1:18.237
2017,6,20,button,19,1:18.307
2017,6,21,raikkonen,1,1:16.451
2017,6,21,vettel,2,1:16.358
2017,6,21,bottas,3,1:16.468
2017,6,21,max_verstappen,4,1:16.652
2017,6,21,ricciardo,5,1:16.428
2017,6,21,sainz,6,1:17.515
2017,6,21,grosjean,7,1:17.238
2017,6,21,kevin_magnussen,8,1:17.334
2017,6,21,kvyat,9,1:17.334
2017,6,21,hamilton,10,1:17.238
2017,6,21,vandoorne,11,1:17.370
2017,6,21,massa,12,1:18.095
2017,6,21,ocon,13,1:18.289
2017,6,21,jolyon_palmer,14,1:17.925
2017,6,21,stroll,15,1:17.753
2017,6,21,perez,16,1:18.001
2017,6,21,ericsson,17,1:18.391
2017,6,21,wehrlein,18,1:18.377
2017,6,21,button,19,1:18.081
2017,6,22,raikkonen,1,1:17.178
2017,6,22,vettel,2,1:16.861
2017,6,22,bottas,3,1:16.439
2017,6,22,max_verstappen,4,1:16.741
2017,6,22,ricciardo,5,1:16.532
2017,6,22,sainz,6,1:17.138
2017,6,22,grosjean,7,1:17.508
2017,6,22,kevin_magnussen,8,1:17.723
2017,6,22,kvyat,9,1:17.024
2017,6,22,hamilton,10,1:17.048
2017,6,22,vandoorne,11,1:17.295
2017,6,22,massa,12,1:17.820
2017,6,22,ocon,13,1:17.893
2017,6,22,jolyon_palmer,14,1:18.493
2017,6,22,stroll,15,1:18.292
2017,6,22,perez,16,1:18.114
2017,6,22,ericsson,17,1:18.072
2017,6,22,wehrlein,18,1:18.139
2017,6,22,button,19,1:18.276
2017,6,23,raikkonen,1,1:16.968
2017,6,23,vettel,2,1:16.741
2017,6,23,bottas,3,1:16.492
2017,6,23,max_verstappen,4,1:16.500
2017,6,23,ricciardo,5,1:16.497
2017,6,23,sainz,6,1:17.167
2017,6,23,grosjean,7,1:17.373
2017,6,23,kevin_magnussen,8,1:17.592
2017,6,23,kvyat,9,1:17.344
2017,6,23,hamilton,10,1:17.334
2017,6,23,vandoorne,11,1:17.572
2017,6,23,massa,12,1:18.130
2017,6,23,ocon,13,1:18.029
2017,6,23,jolyon_palmer,14,1:18.007
2017,6,23,stroll,15,1:17.817
2017,6,23,perez,16,1:17.918
2017,6,23,ericsson,17,1:19.981
2017,6,23,wehrlein,18,1:18.352
2017,6,23,button,19,1:18.245
2017,6,24,raikkonen,1,1:17.269
2017,6,24,vettel,2,1:17.398
2017,6,24,bottas,3,1:16.512
2017,6,24,max_verstappen,4,1:16.427
2017,6,24,ricciardo,5,1:16.393
2017,6,24,sainz,6,1:17.086
2017,6,24,grosjean,7,1:17.462
2017,6,24,kevin_magnussen,8,1:17.493
2017,6,24,kvyat,9,1:17.631
2017,6,24,hamilton,10,1:17.294
2017,6,24,vandoorne,11,1:17.378
2017,6,24,massa,12,1:17.594
2017,6,24,ocon,13,1:17.816
2017,6,24,jolyon_palmer,14,1:17.921
2017,6,24,stroll,15,1:18.016
2017,6,24,perez,16,1:17.994
2017,6,24,ericsson,17,1:18.557
2017,6,24,wehrlein,18,1:18.180
2017,6,24,button,19,1:17.810
2017,6,25,raikkonen,1,1:17.236
2017,6,25,vettel,2,1:17.216
2017,6,25,bottas,3,1:17.015
2017,6,25,max_verstappen,4,1:16.415
2017,6,25,ricciardo,5,1:16.507
2017,6,25,sainz,6,1:16.882
2017,6,25,grosjean,7,1:17.536
2017,6,25,kevin_magnussen,8,1:17.672
2017,6,25,kvyat,9,1:17.490
2017,6,25,hamilton,10,1:17.409
2017,6,25,vandoorne,11,1:17.420
2017,6,25,massa,12,1:17.596
2017,6,25,ocon,13,1:17.533
2017,6,25,jolyon_palmer,14,1:17.753
2017,6,25,stroll,15,1:17.750
2017,6,25,perez,16,1:17.844
2017,6,25,ericsson,17,1:18.127
2017,6,25,wehrlein,18,1:18.034
2017,6,25,button,19,1:17.996
2017,6,26,raikkonen,1,1:17.938
2017,6,26,vettel,2,1:17.714
2017,6,26,bottas,3,1:17.023
2017,6,26,max_verstappen,4,1:16.859
2017,6,26,ricciardo,5,1:16.503
2017,6,26,sainz,6,1:16.957
2017,6,26,grosjean,7,1:17.332
2017,6,26,kevin_magnussen,8,1:17.273
2017,6,26,kvyat,9,1:17.241
2017,6,26,hamilton,10,1:17.995
2017,6,26,vandoorne,11,1:17.169
2017,6,26,massa,12,1:17.293
2017,6,26,ocon,13,1:17.348
2017,6,26,jolyon_palmer,14,1:17.967
2017,6,26,stroll,15,1:17.989
2017,6,26,perez,16,1:18.097
2017,6,26,ericsson,17,1:18.115
2017,6,26,wehrlein,18,1:18.220
2017,6,26,button,19,1:22.090
2017,6,27,raikkonen,1,1:17.801
2017,6,27,vettel,2,1:18.372
2017,6,27,bottas,3,1:17.178
2017,6,27,max_verstappen,4,1:17.472
2017,6,27,ricciardo,5,1:16.620
2017,6,27,sainz,6,1:16.976
2017,6,27,grosjean,7,1:17.318
2017,6,27,kevin_magnussen,8,1:17.490
2017,6,27,kvyat,9,1:17.498
2017,6,27,hamilton,10,1:17.177
2017,6,27,vandoorne,11,1:17.173
2017,6,27,massa,12,1:17.283
2017,6,27,ocon,13,1:17.396
2017,6,27,jolyon_palmer,14,1:17.931
2017,6,27,stroll,15,1:18.372
2017,6,27,perez,16,1:18.176
2017,6,27,ericsson,17,1:17.906
2017,6,27,wehrlein,18,1:22.580
2017,6,27,button,19,1:23.379
2017,6,28,raikkonen,1,1:17.028
2017,6,28,vettel,2,1:17.425
2017,6,28,bottas,3,1:17.887
2017,6,28,max_verstappen,4,1:17.977
2017,6,28,ricciardo,5,1:17.628
2017,6,28,sainz,6,1:17.227
2017,6,28,grosjean,7,1:17.674
2017,6,28,kevin_magnussen,8,1:17.633
2017,6,28,kvyat,9,1:17.522
2017,6,28,hamilton,10,1:17.304
2017,6,28,vandoorne,11,1:17.213
2017,6,28,massa,12,1:17.370
2017,6,28,ocon,13,1:17.221
2017,6,28,jolyon_palmer,14,1:17.442
2017,6,28,stroll,15,1:17.648
2017,6,28,perez,16,1:17.747
2017,6,28,ericsson,17,1:18.056
2017,6,28,wehrlein,18,1:23.899
2017,6,28,button,19,1:18.935
2017,6,29,raikkonen,1,1:16.876
2017,6,29,vettel,2,1:16.952
2017,6,29,bottas,3,1:17.749
2017,6,29,max_verstappen,4,1:17.484
2017,6,29,ricciardo,5,1:17.982
2017,6,29,sainz,6,1:17.238
2017,6,29,grosjean,7,1:17.443
2017,6,29,kevin_magnussen,8,1:17.555
2017,6,29,kvyat,9,1:18.026
2017,6,29,hamilton,10,1:17.836
2017,6,29,vandoorne,11,1:17.527
2017,6,29,massa,12,1:17.827
2017,6,29,ocon,13,1:17.645
2017,6,29,jolyon_palmer,14,1:17.198
2017,6,29,stroll,15,1:17.393
2017,6,29,perez,16,1:17.610
2017,6,29,ericsson,17,1:18.262
2017,6,29,wehrlein,18,1:18.644
2017,6,29,button,19,1:19.346
2017,6,30,raikkonen,1,1:17.105
2017,6,30,vettel,2,1:16.636
2017,6,30,bottas,3,1:17.265
2017,6,30,max_verstappen,4,1:16.848
2017,6,30,ricciardo,5,1:16.637
2017,6,30,sainz,6,1:17.276
2017,6,30,grosjean,7,1:17.484
2017,6,30,kevin_magnussen,8,1:17.720
2017,6,30,kvyat,9,1:18.092
2017,6,30,hamilton,10,1:17.903
2017,6,30,vandoorne,11,1:17.423
2017,6,30,massa,12,1:17.661
2017,6,30,ocon,13,1:17.651
2017,6,30,jolyon_palmer,14,1:17.550
2017,6,30,stroll,15,1:18.036
2017,6,30,perez,16,1:17.702
2017,6,30,ericsson,17,1:18.251
2017,6,30,wehrlein,18,1:18.313
2017,6,30,button,19,1:18.840
2017,6,31,raikkonen,1,1:17.074
2017,6,31,vettel,2,1:17.166
2017,6,31,bottas,3,1:17.470
2017,6,31,max_verstappen,4,1:17.242
